="",="(1)",="",="(2)",="",="(3)",="",="(4)",=""
="",="death",="",="death",="",="divorce",="",="divorce",=""
="marriage",="-0.0849",="(-1.63)",="",="",="0.260***",="(4.36)",="0.190**",="(3.20)"
="pop",="0.00949***",="(19.08)",="",="",="0.00271***",="(4.74)",="0.00342***",="(5.98)"
="popurban",="",="",="0.00992***",="(28.57)",="",="",="",=""
="1.region",="",="",="",="",="",="",="0",="(.)"
="2.region",="",="",="",="",="",="",="6362.7*",="(2.06)"
="3.region",="",="",="",="",="",="",="9215.6**",="(3.01)"
="4.region",="",="",="",="",="",="",="9627.3**",="(3.03)"
="_cons",="650.9",="(0.48)",="6464.6***",="(3.55)",="-963.3",="(-0.62)",="-7786.2**",="(-3.00)"
="N",="50",="",="50",="",="50",="",="50",=""
="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
